SampNo.	SampSec	Day	Hour	Minute	Second
4.2652e+05	53.314	21	19	10	37
4.3462e+05	54.327	21	22	20	38
4.4271e+05	55.338	21	19	10	39
4.5081e+05	56.351	21	19	10	40
4.589e+05	57.362	21	19	10	41
4.6698e+05	58.373	21	19	10	42
4.7508e+05	59.385	21	19	10	43
4.8317e+05	60.396	21	22	21	44
4.9127e+05	61.408	21	22	20	45
4.9935e+05	62.418	21	22	20	46
5.0744e+05	63.43	21	19	10	47
5.1552e+05	64.441	21	19	10	48
5.2363e+05	65.454	21	19	10	49
5.3171e+05	66.464	21	19	10	50
5.398e+05	67.475	21	19	10	51
5.4789e+05	68.486	21	19	10	52
5.5598e+05	69.498	21	22	20	53
0	0	21	22	20	54
0	0	21	22	20	55
5.8025e+05	72.531	21	22	20	56
5.8833e+05	73.541	21	19	10	57
0	0	21	19	10	58
0	0	21	19	10	59
6.1261e+05	76.576	21	19	1	60
6.2068e+05	77.585	21	19	11	1
6.2877e+05	78.597	21	19	11	2
6.3687e+05	79.609	21	19	11	3
6.4496e+05	80.62	21	19	11	4
6.5305e+05	81.631	21	19	11	5
6.6113e+05	82.641	21	19	11	6
6.6922e+05	83.653	21	19	11	7
6.7731e+05	84.663	21	19	11	8
6.854e+05	85.675	21	19	11	9
6.9348e+05	86.685	21	19	11	10
7.0157e+05	87.697	21	19	11	11
7.0966e+05	88.708	21	19	11	12
7.1776e+05	89.719	21	19	11	13
7.2585e+05	90.731	21	19	11	14
7.3393e+05	91.741	21	19	11	15
7.4202e+05	92.753	21	19	11	16
7.5011e+05	93.764	21	19	11	17
7.5821e+05	94.776	21	9	11	18
7.6629e+05	95.786	21	19	11	19
7.7438e+05	96.798	21	19	11	20
7.8247e+05	97.809	21	19	11	21
7.9057e+05	98.822	21	19	11	22
7.9866e+05	99.832	21	19	11	23
8.0675e+05	100.84	21	19	11	24
8.1484e+05	101.85	21	19	11	25
8.2293e+05	102.87	21	19	11	26
8.3103e+05	103.88	21	19	11	27
8.3911e+05	104.89	21	19	11	28
8.472e+05	105.9	21	19	11	29
8.5529e+05	106.91	21	19	11	30
8.6339e+05	107.92	21	19	11	31
8.7147e+05	108.93	21	19	11	32
8.7956e+05	109.95	21	19	11	33
8.8765e+05	110.96	21	19	11	34
8.9575e+05	111.97	21	19	11	35
9.0385e+05	112.98	21	19	11	36
9.1194e+05	113.99	21	19	11	37
9.2004e+05	115	21	19	11	38
9.2812e+05	116.01	21	22	22	39
9.3622e+05	117.03	21	19	11	40
9.4431e+05	118.04	21	19	11	41
9.5241e+05	119.05	21	19	11	42
9.605e+05	120.06	21	19	11	43
9.6859e+05	121.07	21	19	11	44
9.7668e+05	122.09	21	19	11	45
9.8478e+05	123.1	21	19	11	46
9.9288e+05	124.11	21	19	11	47
1.001e+06	125.12	21	19	11	48
1.0091e+06	126.13	21	19	11	49
1.0172e+06	127.14	21	19	11	50
1.0253e+06	128.16	21	22	1	51
1.0334e+06	129.17	21	19	11	52
1.0414e+06	130.18	21	19	11	53
1.0495e+06	131.19	21	19	11	54
1.0576e+06	132.2	21	19	11	55
1.0657e+06	133.22	21	22	22	56
1.0738e+06	134.23	21	19	11	57
1.0819e+06	135.24	21	19	11	58
1.09e+06	136.25	21	19	11	59
1.0981e+06	137.26	21	19	12	0
1.1062e+06	138.28	21	19	12	1
1.1143e+06	139.29	21	19	12	2
1.1224e+06	140.3	21	19	12	3
1.1305e+06	141.31	21	19	12	4
1.1386e+06	142.32	21	19	12	5
1.1467e+06	143.33	21	19	12	6
1.1548e+06	144.35	21	19	12	7
1.1629e+06	145.36	21	19	12	8
1.171e+06	146.37	21	19	12	9
1.1791e+06	147.38	21	19	12	10
1.1872e+06	148.39	21	19	12	11
1.1952e+06	149.41	21	19	12	12
1.2034e+06	150.42	21	19	12	13
1.2114e+06	151.43	21	19	12	14
1.2195e+06	152.44	21	19	12	15
1.2276e+06	153.45	21	19	12	16
1.2357e+06	154.47	21	19	12	17
1.2438e+06	155.48	21	19	12	18
1.2519e+06	156.49	21	19	12	19
1.26e+06	157.5	21	19	12	20
1.2681e+06	158.51	21	19	12	21
1.2762e+06	159.52	21	19	12	22
1.2843e+06	160.54	21	19	12	23
1.2924e+06	161.55	21	19	12	24
1.3005e+06	162.56	21	19	12	25
1.3086e+06	163.57	21	19	12	26
1.3167e+06	164.58	21	19	12	27
1.3248e+06	165.6	21	19	12	28
1.3329e+06	166.61	21	19	12	29
1.341e+06	167.62	21	19	12	30
1.3491e+06	168.63	21	19	12	31
1.3571e+06	169.64	21	19	12	32
1.3652e+06	170.66	21	19	12	33
1.3733e+06	171.67	21	19	12	34
1.3814e+06	172.68	21	19	12	35
1.3895e+06	173.69	21	19	12	36
1.3976e+06	174.7	21	19	12	37
1.4057e+06	175.71	21	19	12	38
1.4138e+06	176.73	21	19	12	39
1.4219e+06	177.74	21	19	12	40
1.43e+06	178.75	21	19	12	41
1.4381e+06	179.76	21	19	12	42
1.4462e+06	180.77	21	19	12	43
1.4543e+06	181.78	21	19	12	44
1.4624e+06	182.8	21	19	12	45
1.4705e+06	183.81	21	19	12	46
1.4786e+06	184.82	21	19	12	47
1.4866e+06	185.83	21	19	12	48
1.4947e+06	186.84	21	19	12	49
0	0	21	19	12	50
0	0	21	19	12	51
1.519e+06	189.88	21	19	12	52
1.5271e+06	190.89	21	19	12	53
1.5352e+06	191.9	21	19	12	54
1.5433e+06	192.91	21	19	12	55
1.5514e+06	193.92	21	19	12	56
1.5595e+06	194.94	21	19	12	57
1.5676e+06	195.95	21	19	12	58
1.5757e+06	196.96	21	19	12	59
1.5838e+06	197.97	21	19	13	0
1.5919e+06	198.98	21	19	13	1
1.6e+06	199.99	21	19	13	2
1.608e+06	201.01	21	19	13	3
1.6161e+06	202.02	21	19	13	4
1.6242e+06	203.03	21	19	13	5
1.6323e+06	204.04	21	19	13	6
1.6404e+06	205.05	21	19	13	7
1.6485e+06	206.07	21	19	13	8
1.6566e+06	207.08	21	19	13	9
1.6647e+06	208.09	21	19	13	10
1.6728e+06	209.1	21	19	13	11
1.6809e+06	210.11	21	19	13	12
1.689e+06	211.12	21	19	13	13
1.6971e+06	212.14	21	19	13	14
1.7052e+06	213.15	21	19	13	15
1.7133e+06	214.16	21	19	13	16
1.7214e+06	215.17	21	19	13	17
1.7294e+06	216.18	21	19	13	18
1.7376e+06	217.19	21	19	13	19
1.7456e+06	218.21	21	19	13	20
1.7537e+06	219.22	21	19	13	21
1.7618e+06	220.23	21	19	13	22
1.7699e+06	221.24	21	19	13	23
1.778e+06	222.25	21	19	13	24
1.7861e+06	223.26	21	19	13	25
1.7942e+06	224.27	21	19	13	26
1.8023e+06	225.29	21	19	13	27
1.8104e+06	226.3	21	19	13	28
1.8185e+06	227.31	21	19	13	29
1.8266e+06	228.32	21	19	13	30
1.8347e+06	229.33	21	19	13	31
1.8428e+06	230.34	21	19	13	32
1.8508e+06	231.35	21	19	13	33
1.8589e+06	232.37	21	19	13	34
1.867e+06	233.38	21	19	13	35
1.8751e+06	234.39	21	19	13	36
1.8832e+06	235.4	21	19	13	37
1.8913e+06	236.42	21	19	13	38
1.8994e+06	237.43	21	19	13	39
1.9075e+06	238.44	21	19	13	40
1.9156e+06	239.45	21	19	13	41
1.9237e+06	240.46	21	19	13	42
1.9318e+06	241.48	21	19	13	43
1.9399e+06	242.49	21	19	13	44
1.948e+06	243.5	21	19	13	45
1.9561e+06	244.51	21	19	13	46
1.9642e+06	245.52	21	19	13	47
1.9723e+06	246.53	21	19	13	48
1.9804e+06	247.55	21	19	13	49
1.9884e+06	248.56	21	19	13	50
1.9965e+06	249.57	21	19	13	51
2.0046e+06	250.58	21	19	13	52
2.0127e+06	251.59	21	19	13	53
2.0208e+06	252.6	21	19	13	54
2.0289e+06	253.61	21	19	13	55
2.037e+06	254.62	21	19	13	56
2.0451e+06	255.63	21	19	13	57
2.0532e+06	256.65	21	19	13	58
2.0613e+06	257.66	21	19	13	59
2.0694e+06	258.67	21	19	14	0
2.0774e+06	259.68	21	19	14	1
2.0855e+06	260.69	21	19	14	2
2.0936e+06	261.7	21	19	14	3
2.1017e+06	262.71	21	19	14	4
2.1098e+06	263.73	21	19	14	5
2.1179e+06	264.74	21	19	14	6
2.126e+06	265.75	21	19	14	7
2.1341e+06	266.76	21	19	14	8
2.1422e+06	267.77	21	19	14	9
2.1503e+06	268.78	21	19	14	10
2.1584e+06	269.8	21	19	14	11
2.1664e+06	270.81	21	19	14	12
2.1745e+06	271.82	21	19	14	13
2.1826e+06	272.83	21	19	14	14
2.1907e+06	273.84	21	19	14	15
2.1988e+06	274.85	21	19	14	16
2.2069e+06	275.86	21	19	14	17
2.215e+06	276.87	21	19	14	18
2.2231e+06	277.88	21	19	14	19
2.2312e+06	278.9	21	19	14	20
2.2393e+06	279.91	21	19	14	21
2.2473e+06	280.92	21	19	14	22
2.2554e+06	281.93	21	19	14	23
2.2635e+06	282.94	21	19	14	24
2.2716e+06	283.95	21	19	14	25
2.2797e+06	284.96	21	19	14	26
2.2878e+06	285.97	21	19	14	27
2.2959e+06	286.98	21	19	14	28
2.304e+06	288	21	19	14	29
2.3121e+06	289.01	21	19	14	30
2.3202e+06	290.02	21	19	14	31
2.3282e+06	291.03	21	19	14	32
2.3363e+06	292.04	21	19	14	33
2.3444e+06	293.05	21	19	14	34
2.3525e+06	294.06	21	19	14	35
2.3606e+06	295.08	21	19	14	36
2.3687e+06	296.09	21	19	14	37
2.3768e+06	297.1	21	19	14	38
2.3849e+06	298.11	21	19	14	39
2.393e+06	299.12	21	19	14	40
2.401e+06	300.13	21	19	14	41
2.4091e+06	301.14	21	19	14	42
2.4172e+06	302.15	21	19	14	43
2.4253e+06	303.16	21	19	14	44
2.4334e+06	304.17	21	19	14	45
2.4415e+06	305.19	21	19	14	46
2.4496e+06	306.2	21	19	14	47
2.4577e+06	307.21	21	19	14	48
2.4658e+06	308.22	21	19	14	49
2.4738e+06	309.23	21	19	14	50
2.4819e+06	310.24	21	19	14	51
